6.6;Nachtgestalten (Nightshapes);1999;104 min.; Alemania;Andreas Dresen;Andreas Dresen;Cathrin Pfeifer, Rainer Rohloff;Andreas Höfer;Meriam Abbas, Dominique Horwitz, Oliver Bäbler, Susanne Bormann, Michael Gwisdek, Ricardo Valentim;European Script Fund / Film Board Berlin Brandenburg / Studio Babelsberg Independents;Drama;Retrata la vida de un grupo de desheredados de Berlín. 
6,2;Capicúa (S);2010;3 min.; España;Roger Villarroya;Roger Villarroya;Documentary;Notodofilm;Documental. Drama | Vejez. Cortometraje Web oficial http://www.notodofilmfest.com/ediciones/09/?lg=es&corto=20803;Cuando dependemos de los demás. 
6,6;Unfinished Business;1941;95 min.; Estados Unidos;Gregory La Cava;Eugene Thackrey;Franz Waxman, Jack Frost;Joseph A. Valentine;Irene Dunne, Robert Montgomery, Preston Foster, Eugene Pallette, Dick Foran, Esther Dale, Walter Catlett, Richard Davies, Kathryn Adams, Samuel S. Hinds, June Clyde, Phyllis Barry, Henry Cordy;Universal Pictures;Romance. Comedia | Comedia romántica;Poco después de cantar en la boda de su hermana menor, a quien ha cuidado desde pequeña, Nancy Andrews le confiesa a su amigo Frank que está harta de hacer de madre y quiere cortar amarras con su familia... ir en busca de nuevos horizontes. Esa noche, tras rechazar amablemente la propuesta de matrimonio de Frank, abandona Messina, su localidad natal, una pequeña población de Ohio de menos de cinco mil habitantes. En el tren que la conduce a Nueva York conoce al millonario Steve Duncan, que flirtea con ella sólo para ganar una apuesta a su compañero de viaje. Nancy, sin embargo, se enamora de él, aunque no tarda en descubrir que él no tiene ninguna intención de proseguir la relación... 
5,8;Nada;1974;110 min.; Francia;Claude Chabrol;Claude Chabrol, Antonietta Malzieri (Novela: Jean-Patrick Manchette);Pierre Jansen;Jean Rabier;Fabio Testi, Lou Castel, Mariangela Melato, Michel Aumont, Michel Duchaussoy, Maurice Garrel, Didier Kaminka, André Falcon, François Perrot, Viviane Romance, Lyle Joyce;Coproducción Francia-Italia;Thriller | Terrorismo. Política. Policíaco. Secuestros / Desapariciones;Un grupo terrorista europeo llamado 'Nada\" secuestra al embajador americano. Pronto surgen tensiones entre ellos debido a las discrepancias sobre los pasos a seguir. La división interna de la banda junto a la total confusión de la policía hace que la violencia se intensifique cada vez más en ambos lados... 
6,9;Smáfuglar (S);2008;15 min.; Islandia;Rúnar Rúnarsson;Rúnar Rúnarsson;Kjartan Sveinsson;Sophia Olsson;Atli Oskar Fjalarsson, Hera Hilmar, Sigurdur Jakob Helgason, Thorunn Jakobsdóttir, Víkingur Kristjánsson, Ómar Örn Hauksson;Zik Zak Kvikmyndir;Drama. Romance | Cortometraje. Adolescencia;En un grupo de amigos, a un chico le gusta una de las chicas pero no se atreve a decirle nada, pese a ser animado por otros y pese a que tiene la certeza que también ella está interesada en él. Un día, alguien propone ir a una fiesta en casa de otro amigo... 
7,1;Blackadder: The Cavalier Years (TV) (S);1988;15 min.; Reino Unido;Martin Shardlow;Richard Curtis, Ben Elton;Howard Goodall;Rowan Atkinson, Tony Robinson, Stephen Fry, Warren Clarke, Hugh Laurie;British Broadcasting Corporation (BBC);Comedia | Histórico. Siglo XVII. Cortometraje. Telefilm;Sir Edmund deberá proteger, y luego rescatar, al Rey Carlos I. 
6,1;The Education of Max Bickford (TV Series);2001;60 min.; Estados Unidos;Michael Fields, Rod Holcomb, Vince Misiano, David Hugh Jones, Elodie Keene, Martha Mitchell, Matthew Penn, David Platt, Don Scardino;Linda Burstyn, Joe Cacaci, Tom Garrigus, Grace McKeaney, Dawn Prestwich, Rob Thomas, Sharon Lee Watson, Nicole Yorkin;Brian Tyler, David Was, Don Was;Andrew Dintenfass, Dejan Georgevich, Michael Mayers;Richard Dreyfuss, Marcia Gay Harden, Katee Sackhoff, Meredith Roberts, Molly Regan, Stephen Spinella, David McCallum, Jayne Atkinson, Natalie Venetia Belcon;Emitida por la cadena CBS. Productora: 20th Century Fox Television;Serie de TV;Serie de TV (2001-2002). 1 temporada. 22 episodios. Teleserie acerca de una profesor de una universidad femenina donde su propia hija es una estudiante. 
7,2;12 stulyev;1971;161 min.; Unión Soviética (URSS);Leonid Gaidai (AKA Leonid Gayday);Leonid Gaidai, Vladlen Bakhnov (Novela: Ilya Ilf, Yevgeni Petrov);Aleksandr Zatsepin;Sergei Poluyanov, Valeri Shuvalov;Archil Gomiashvili, Sergei Filippov, Mikhail Pugovkin, Natalya Krachkovskaya, Natalya Vorobyova, Glikeriya Bogdanova-Chesnokova, Yuriy Nikulin;Mosfilm;Comedia;Un antiguo aristócrata, Ippolit Vorobyaninov, vive una vida mísera en la Rusia soviética. Su suegra le revela un secreto: ella escondió en su día los diamantes de la familia en una de las doce sillas que tenían por entonces. Vorobyaninov, en colaboración con un joven artista estafador, inicia una larga búsqueda de los diamantes. 
6,6;Columbo: Double Shock (TV);1973;73 min.; Estados Unidos;Robert Butler;Jackson Gillis (Historia: Richard Levinson, William Link);Dick DeBenedictis;Harry L. Wolf;Peter Falk, Martin Landau, Jeanette Nolan, Tim O'Connor, Julie Newmar, Paul Stewart, Dabney Coleman, Kate Hawley, Michael Richardson, Robert Rothwell, Gregory Morton, Tony Cristino;Universal TV / NBC Network;Intriga. Comedia | Crimen. Serie [Colombo];Clifford Paris (Paul Stewart) está a punto de casarse con una mujer mucho más joven (Julie Newmar). Su sobrino Dexter (Martin Landau) planea darle un presente de bodas que lo dejará frito: un pequeño artefacto eléctrico mientras toma su baño. Episodio Nº16 de Colombo. Aunque Colombo tiende a ser definida o considerada como una serie de TV, nunca fue una serie propiamente dicha. Exceptuando la presencia recurrente del personaje principal, no presenta ninguna de las características de una serie tradicional (episodios semanales, de duración regular, con cast, dirección y equipo de producción fijo). Pensados como telefilms (de hora y media como promedio de duración), cada episodio cuenta con una historia independiente y con un director y un equipo de producción distinto. Los films tuvieron una transmisión irregular, pero con un mínimo de tres o cuatro producciones por año hasta 1978. Más de diez años después, Falk retomó su personaje por dos años (1989-1990). A partir de 1990, Columbo dejó de emitirse con regularidad, y los siguientes films fueron estrenados como especiales. Por estas razones, los 68 episodios de Colombo se dispersan irregularmente a lo largo de 35 años (1968-2003). 
6,7;Ice;1970;128 min.; Estados Unidos;Robert Kramer;Robert Kramer;Robert Machover (B&W);Tom Griffin, Paul McIsaac, Robert Kramer, Howard Loeb, Dan Talbot, David Stone, Barbara Stone, Jonas Mekas;Monument Film Co. / American Film Institute / Newsreel;Ciencia ficción. Thriller | Política. Cine experimental;Un futuro indeterminado. Con una situación interna cada vez más deteriorada y una guerra en la frontera meridional con un movimiento mexicano insurgente, la agitación y la resistencia se han extendido por Estados Unidos. Hay un movimiento revolucionario armado lo suficientemente amplio como para amenazar el poder establecido. 
5,3;Uro;2006;104 min.; Noruega;Stefan Faldbakken;Harald Rosenløw-Eeg;Ginge Anvik;John Andreas Andersen;Nicolai Cleve Broch, Ane Dahl Torp, Ahmed Zeyan, Bjørn Floberg, Ingar Helge Gimle, Eivind Sander, Kim Sørensen, Anne Krigsvoll, Thorsten Flinck, Nicholas Hope, Bartek Kaminski, Jørgen Emmanuel, Nicolas Bro;Friland A/S;Acción. Thriller | Crimen. Drogas;Tras un pasado de delincuente, HP ha decidido cambiar radicalmente su vida y se ha unido a la policía. Le han reclutado para una fuerza de elite llamada URO. Trabajan desde el anonimato, luchando contra el tráfico de drogas y el crimen organizado. La naturaleza impaciente de HP y su determinación por alcanzar el triunfo, a veces resultan en malas decisiones: para lograr infiltrarse en ambientes criminales y mantener su identidad en secreto, ha de violar las reglas de la policía. Y pronto se encuentra atrapado en una red de engaños y mentiras, tambaleándose peligrosamente a ambos lados de la ley... 
7,7;The Space Within US;2006;115 min.; Estados Unidos;Mark Haefeli;Paul McCartney;Documentary, Paul McCartney;Mark Haefeli Productions;Documental. Musical | Conciertos;The Space Within US es un DVD en directo del músico británico Paul McCartney, publicado en noviembre de 2006. Se compone de material grabado durante la gira US Tour, llevada a cabo como promoción del álbum de 2005 Chaos and Creation in the Backyard, si bien también se interpretan canciones de The Beatles y de anteriores trabajos en solitario, tanto de su etapa bajo el grupo Wings como posterior. (información extraída de Wikipedia) 
6,4;Tom & Jerry: Tee for Two (S);1945;7 min.; Estados Unidos;William Hanna, Joseph Barbera;William Hanna, Joseph Barbera;Scott Bradley;Animation;Animation;Metro-Goldwyn-Mayer (MGM);Animación. Comedia | Tom y Jerry. Golf. Gatos. Roedores. Cortometraje (animación);Tom intenta jugar tranquilamente al golf, pero Jerry hace todo lo posible para molestarle. 
6,9;The Paradine Case;1947;125 min.; Estados Unidos;Alfred Hitchcock;David O. Selznick, Alma Reville (Novela: Robert Hichens);Franz Waxman;Lee Garmes (B&W);Gregory Peck, Ann Todd, Charles Laughton, Charles Coburn, Ethel Barrymore, Louis Jourdan, Alida Valli, Leo G. Carroll, Joan Tetzel, Isobel Elsom;ABC Pictures / David O. Selznick Production;Intriga | Drama judicial;La hermosa señora Paradine (Alida Valli) es acusada de haber asesinado a su marido ciego. De su defensa se encarga el abogado Keane (Gregory Peck) que, aunque está casado con una atractiva mujer (Ann Todd), se enamora perdidamente de su cliente y se deja convencer de su inocencia. 
7,1;Llámale Jess;2000;82 min.; España;Manel Mayol, Carles Prats;Manel Mayol, Carles Prats, Joan Ferré;Christian Rey, Salvador Rey;Pere Ballesteros;Documentary, Jesús Franco (AKA Jess Franco), Lina Romay;Media Park;Documental | Biográfico. Documental sobre cine;Jesús Franco es uno de los mayores nombres del cine B mundial. Con más de 180 trabajos y un gran número de seudónimos, es difícil catalogar su trabajo pese a la existencia de estudios y retrospectivas tanto en europa como en América. A través de una serie de entrevistas con él, el documental trata de que el espectador conozca mejor su obra, su idea del cine y su persona. 
6,6;Bruce Lee, the Legend;1984;88 min.; Hong Kong;Leonard Ho, Mathew Mallinson;Russell Cawthorne;Paul Dunlap;Documentary, Bruce Lee, Raymond Chow, Robert Clouse, James Coburn, George Lazenby, Linda Lee Cadwell, Jackie Chan, Steve McQueen, Nora Miao, Sammo Hung Kam-Bo, Brandon Lee, Shannon Lee, Chuck Norris, Yuen Biao;Golden Harvest Productions / Paragon Films Ltd.;Documental | Biográfico;Golden Harvest Productions, la productora de la serie de impactantes films de artes marciales de Bruce Lee, presenta un amplio documental para conmemorar la carrera y la labor del más grande héroe de kung-fu que jamás se haya conocido. En “La Leyenda de Bruce Lee” se hace un recorrido por la vida y la carrera del “Pequeño Dragón”, desde sus días como estrella infantil en films cantoneses, pasando por su incursión en Estados Unidos en las series de televisión “The Green Hornet” y “Longstreet”, hasta que se convirtió en una de las mayores estrellas de todo el mundo, logrando cambiar la opinión y renovando el estilo de los films de artes marciales. En el documental se incluyen fragmentos de todos los films de Bruce Lee, incluidos “Fuaria Oriental” y “Operación Dragon” así como anécdotas de rodaje de su obra maestra inacabada “Juego con la Muerte”. También se incluyen una serie de entrevistas inéditas con aquellos que lo conocieron íntimamente e imágenes de su emotivo funeral. Entra en el mundo oculto de Bruce Lee, finalmente desvelado en “La Leyenda de Bruce Lee”. 
7,1;Invierno en Bagdad;2005;80 min.; España;Javier Corcuera;Javier Corcuera, Elena García Quevedo;Naseer Shamma;Jordi Abusada;Documentary;Documental | Guerra de Iraq;A pesar de que ciudadanos de todo el mundo tratan de impedirlo, la guerra llega a Irak. Los habitantes de Bagdad, testigos y víctimas, cuentan historias del terrible invierno que vivió la ciudad. Algunos de ellos son: Mustafá, de nueve años; Mauy, de once; Zin al Abidin, de doce; Nagham, de 24; Mayed, de 43 o Rabiha, de 60. 
7,1;Wallander (TV Series);2008;90 min.; Reino Unido;Philip Martin, Niall MacCormick, Aisling Walsh;Richard Cottan (Novela: Henning Mankell);Martin Phipps, Vince Pope;Anthony Dod Mantle, Igor Martinovic;Kenneth Branagh, Sarah Smart, Sadie Shimmin, Tom Beard, Tom Hiddleston, Richard McCabe, Jeany Spark, Jessica Lloyd, Boel Larsson;Coproducción GB-Suecia; BBC Scotland / Zodiak Entertainment / ARD Degeto Film / Film i Skåne / Left Bank Pictures / TV4 Sweden / Yellow Bird Films;Serie de TV. Thriller | Policíaco. Crimen. Remake Grupos Inspector Wallander Novedad Web oficial http://www.bbc.co.uk/pressoffice/pressreleases/stories/2008/01_january/10/wallander.shtml;Serie de TV (2008-2013). Cuatro temporadas. Remake de la televisión británica de una serie de telefilms suecos, basados en las novelas de Henning Mankell, que siguen las andanzas del detective Kurt Wallander (Branagh), que investiga varios asesinatos violentos cometidos en un hermoso pueblo situado al sur de Suecia. 
6,1;Ballet Adagio (S);1972;10 min.; Canadá;Norman McLaren;Tomaso Albinoni;Jacques Fogel, Douglas Kiefer;David Holmes, Anna Marie Holmes;National Film Board of Canada (NFB);Musical | Baile. Ballet. Cortometraje;Una pareja baila en pas de deux un adagio de Albinoni, una de las danzas más exigentes del ballet clásico. La película está realizada a cámara lenta para apreciar la estética del ballet y la técnica de los movimientos. 
6,9;Inside Planet Earth (TV);2009; Estados Unidos;Martin Williams;Billie Pink;Philip Chambon;Paul Williams;Documentary;Pioneer Productions / Discovery Channel;Documental | Telefilm;La Tierra es un lugar en evolucion constante, inquieto y siempre en movimiento... Un planeta vivo, al igual que todo lo que en el habita... En este documental, se hace un recuento de la vida hasta la fecha de nuestro hogar, la tierra, que a su edad aprox de 4.6 billones de años es aun un planeta con un centro igneo. 
5,6;A Slipping-Down Life;1999;109 min.; Estados Unidos;Toni Kalem;Toni Kalem (Novela: Anne Tyler);Peter Himmelman;Michael F. Barrow;Lili Taylor, Guy Pearce, Sara Rue, Irma P. Hall, Tom Bower, Shawnee Smith, Veronica Cartwright, Bruno Kirby, Clea DuVall;DVC Entertainment / PFG Entertainment;Drama. Romance | Cine independiente USA.;Web oficial http://www.aslippingdownlifemovie.com/;Evie Decker (Lili Taylor) es una joven tímida cuya vida monótona consiste en vivir casi en reclusión con su padre viudo (Tom Bower) y un miserable trabajo como animadora disfrazada de conejo en un parque de atracciones. Pero su tranquila existencia cambiará el día que escucha en un programa de radio nocturno a un músico, Casey (Guy Pearce). Evie queda fascinada por su voz y sus letras, así que convence a su mejor amiga Violet (Sara Rue) para ir a verle actuar en vivo. 
6,1;A Man of No Importance;1994;99 min.; Irlanda;Suri Krishnamma;Barry Devlin;Julian Nott;Ashley Rowe;Albert Finney, Brenda Fricker, Michael Gambon, Tara Fitzgerald, Rufus Sewell, Patrick Malahide, Michael Lally, Anna Manhattan;Coproducción Irlanda-Suecia-GB;Drama | Homosexualidad;Irlanda, años sesenta. Un desconocido conductor de autobús se obsesiona con la idea de montar una representación de \"Salomé\", la famosa obra de teatro de Oscar Wilde. 
7,3;Synth Britannia (TV);2009;90 min.; Reino Unido;Benjamin Whalley;Documentary;BBC Productions;Documental | Documental sobre música. Telefilm;Documental que sigue a una generación de músicos post-punk que en los años 70 y 80 formaron populares bandas electrónicas que han tenido un profundo impacto en la música actual. 
